 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Summary of PEER Ground Motion Database Search Criteria --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Min:,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Max:,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Min (m/sec):,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Max (m/sec):,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Min (sec):,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Max (sec):,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Min:,-1.00E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Max:,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, SRSS,6971,0.131,2.1737, -,16.1,22.7,1," ""Darfield_ New Zealand""",2010," ""SPFS""",7, strike slip,29.86,29.86,389.54,0.0375,2.3422, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 These records are UNSCALED, AS RECORDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Filename Extension: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,AT2 = Acceleration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,VT2 = Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,DT2 = Displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Scaled Spectra used in Search & Scaling --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-864 SRSS pSa (g),RSN-881 SRSS pSa (g),RSN-1614 SRSS pSa (g),RSN-1616 SRSS pSa (g),RSN-1633 SRSS pSa (g),RSN-3753 SRSS pSa (g),RSN-3757 SRSS pSa (g),RSN-3759 SRSS pSa (g),RSN-6915 SRSS pSa (g),RSN-6971 SRSS pSa (g),,,,,,,,,,,,,,,,
0.01,0.74433468,0.66003232,0.85663052,0.50855375,0.57269332,0.55830729,0.68217224,0.62437453,0.60444634,0.66346018,0.56645952,0.69087028,1.14525228,0.49228726,,,,,,,,,,,,,,,,
0.02,0.85826936,0.66638095,0.86959463,0.51065582,0.57683084,0.56455499,0.67662318,0.62427657,0.60729462,0.66844938,0.57514831,0.71074627,1.16686673,0.49301856,,,,,,,,,,,,,,,,
0.022,0.88105629,0.67609415,0.89554959,0.51041652,0.5774543,0.56760778,0.67742826,0.6265488,0.63810857,0.6679191,0.57725237,0.71602039,1.21645761,0.49614436,,,,,,,,,,,,,,,,
0.025,0.9152367,0.68435838,0.90475885,0.51764776,0.57559951,0.56657525,0.68001715,0.62521013,0.70234839,0.66920173,0.57980306,0.73015308,1.21955928,0.49511624,,,,,,,,,,,,,,,,
0.029,0.96081057,0.68830178,0.91135944,0.51983807,0.57462644,0.56453398,0.68376633,0.63531802,0.7251861,0.67276248,0.57907631,0.72464523,1.22717496,0.49592791,,,,,,,,,,,,,,,,
0.03,0.97220404,0.69473845,0.92037591,0.52441781,0.5751431,0.56840936,0.68328509,0.63317061,0.75085573,0.67159479,0.58279619,0.75126243,1.23279963,0.4980676,,,,,,,,,,,,,,,,
0.032,0.99499097,0.70042991,0.92869693,0.52826927,0.57531325,0.57153204,0.68037665,0.63690335,0.74488469,0.67521523,0.59614421,0.76952969,1.24660906,0.50779089,,,,,,,,,,,,,,,,
0.035,1.02917138,0.70461481,0.95807572,0.51820751,0.57638931,0.58020256,0.69356384,0.64842055,0.66731443,0.67552908,0.58704395,0.7869888,1.31653795,0.51415767,,,,,,,,,,,,,,,,
0.036,1.04056484,0.70809216,0.96599719,0.51904344,0.57721966,0.59127052,0.69801029,0.64620022,0.68667625,0.67059353,0.58432534,0.78525389,1.33021571,0.51115617,,,,,,,,,,,,,,,,
0.04,1.08613872,0.71251534,0.96604943,0.5255198,0.57426505,0.6059241,0.70466273,0.64217613,0.67057797,0.67880112,0.59367154,0.82998085,1.3151177,0.50997619,,,,,,,,,,,,,,,,
0.042,1.10892565,0.72760682,1.01074842,0.52378186,0.57743442,0.61606203,0.70864229,0.64731995,0.69136368,0.68009868,0.59359509,0.86829265,1.38984615,0.50341325,,,,,,,,,,,,,,,,
0.044,1.13171259,0.73431874,1.01724195,0.53008433,0.5808585,0.61944425,0.71393869,0.66792,0.71763996,0.68938013,0.57342801,0.87008307,1.39509645,0.51539837,,,,,,,,,,,,,,,,
0.045,1.14310606,0.73452424,1.00818678,0.53514475,0.58091007,0.62611611,0.71717416,0.68883513,0.71756045,0.69453411,0.56355823,0.8695609,1.37166795,0.51532533,,,,,,,,,,,,,,,,
0.046,1.15449952,0.74502381,1.02616483,0.54090772,0.58030281,0.62924384,0.7143948,0.70105337,0.75503436,0.69977153,0.58650022,0.8708454,1.39981531,0.51327645,,,,,,,,,,,,,,,,
0.048,1.17728646,0.7587378,1.06333351,0.54139462,0.57831844,0.63089609,0.69521975,0.70369041,0.81541157,0.71078188,0.62887527,0.83811555,1.47331737,0.51275164,,,,,,,,,,,,,,,,
0.05,1.20007339,0.77318332,1.09716148,0.54487189,0.57750985,0.60809781,0.70983524,0.7022863,0.87985632,0.7140751,0.66320336,0.83000994,1.52452896,0.52243036,,,,,,,,,,,,,,,,
0.055,1.25704073,0.81707808,1.15785752,0.57659649,0.58064689,0.58938822,0.78507697,0.74571359,1.14837463,0.71563204,0.69580705,0.87225387,1.50787358,0.53001392,,,,,,,,,,,,,,,,
0.06,1.31400807,0.82364626,1.16923372,0.58020322,0.58541229,0.6070609,0.82410318,0.6921177,1.1454094,0.71501944,0.72025332,0.89988828,1.52359601,0.52360209,,,,,,,,,,,,,,,,
0.065,1.37097541,0.88041855,1.32405207,0.58542775,0.58028601,0.62273153,0.85091002,0.68862038,1.36949617,0.70742096,0.775319,0.93250615,1.72175195,0.55514331,,,,,,,,,,,,,,,,
0.067,1.39376235,0.90208734,1.37718003,0.59088975,0.57971327,0.61974011,0.84423975,0.71494392,1.42423566,0.71331816,0.80290559,0.95573695,1.79774389,0.56829609,,,,,,,,,,,,,,,,
0.07,1.42794275,0.93364028,1.42958668,0.6097456,0.5902332,0.61795982,0.84313043,0.73806539,1.37458389,0.73144328,0.85850537,1.1202239,1.888954,0.57330357,,,,,,,,,,,,,,,,
0.075,1.48491009,0.9713811,1.4909372,0.63287792,0.58842477,0.59735705,0.82641942,0.806599,1.45969525,0.76955167,0.83741263,1.29998197,1.90479371,0.6235755,,,,,,,,,,,,,,,,
0.08,1.54187743,0.99899384,1.53987948,0.64809532,0.58269275,0.58202847,0.85963107,0.82695614,1.63220098,0.78491426,0.88981969,1.28330215,1.89926861,0.64912425,,,,,,,,,,,,,,,,
0.085,1.576,1.07294386,1.69630505,0.67865654,0.59405659,0.60109883,0.87808397,0.77930012,1.94565853,0.84359552,1.04448128,1.39262595,1.95557311,0.69496466,,,,,,,,,,,,,,,,
0.09,1.576,1.10210118,1.69816589,0.71525816,0.593075,0.59713489,0.91927482,0.77589988,1.84606059,0.87505687,1.17458677,1.51325837,1.95515525,0.77150935,,,,,,,,,,,,,,,,
0.095,1.576,1.12881724,1.70185155,0.74873062,0.5856065,0.63456966,0.8636381,0.84604349,1.52462191,0.95557238,1.29261349,1.78083593,1.98103844,0.82363254,,,,,,,,,,,,,,,,
0.1,1.576,1.13503716,1.73391121,0.74300768,0.60408006,0.61837215,0.96125193,0.81280155,1.3951029,0.95997541,1.20770807,1.72139006,2.19172814,0.8779613,,,,,,,,,,,,,,,,
0.11,1.576,1.26351979,2.07884217,0.76796703,0.68259033,0.6836598,1.02751909,0.86278123,1.61387006,1.08165812,1.08853439,1.9392731,2.77325637,0.88205537,,,,,,,,,,,,,,,,
0.12,1.576,1.26465911,2.00846431,0.79631122,0.65456847,0.75452896,1.13146108,0.85584069,1.95645719,0.99134845,1.05759532,2.06740338,2.34838719,0.82900035,,,,,,,,,,,,,,,,
0.13,1.576,1.38538258,2.4364242,0.78774661,0.67031775,0.76780382,1.26639196,0.78389181,1.9452849,1.0802974,1.14113136,1.90247419,3.36289743,0.93333519,,,,,,,,,,,,,,,,
0.133,1.576,1.41104546,2.53484999,0.78547027,0.68726274,0.76821358,1.22321307,0.80024238,2.03587558,1.08789638,1.15783431,1.82426235,3.54859127,0.97706297,,,,,,,,,,,,,,,,
0.14,1.576,1.44272989,2.47532901,0.84088601,0.70818995,0.74554138,1.30797362,0.87883133,2.01426538,1.19423342,1.29044739,1.8337558,3.4331344,1.02092624,,,,,,,,,,,,,,,,
0.15,1.576,1.40569597,2.24613445,0.87972523,0.66597536,0.76616472,1.39914957,0.86007574,2.08800153,1.31157437,1.32207827,1.68395168,2.94644113,1.0135473,,,,,,,,,,,,,,,,
0.16,1.576,1.47883432,2.26563491,0.96527068,0.8189646,0.80985885,1.72959657,0.89589311,2.07512636,1.39800293,1.39214785,1.62657709,2.94705183,1.09512402,,,,,,,,,,,,,,,,
0.17,1.576,1.51395549,2.27169624,1.00896466,0.86818821,0.83069336,1.82349624,0.88751927,1.9781331,1.53941212,1.47747014,1.712899,2.91957123,1.10217224,,,,,,,,,,,,,,,,
0.18,1.576,1.57598677,2.37528377,1.04565793,0.95709428,0.95210634,1.72721945,0.93484674,2.06718256,1.69257786,1.48544601,1.63972325,3.16263585,1.14103538,,,,,,,,,,,,,,,,
0.19,1.576,1.62825693,2.60692458,1.01699169,1.02570038,0.98075982,1.72510528,1.01642246,1.87892731,1.89964958,1.39870685,1.56229126,3.68784663,1.10715975,,,,,,,,,,,,,,,,
0.2,1.576,1.66284752,2.55962956,1.08025861,0.92105257,0.97063038,2.0722713,1.13278318,1.81894811,2.10379023,1.32532694,1.79302343,3.39381414,1.09683491,,,,,,,,,,,,,,,,
0.22,1.576,1.70160373,2.41184953,1.20051239,1.09812394,0.99504211,2.51100484,1.33789489,1.53942371,1.7409199,1.45123084,2.06997225,2.93254163,1.33988314,,,,,,,,,,,,,,,,
0.24,1.576,1.67503655,2.28273042,1.22911905,1.29324396,0.96109851,2.28284029,1.16194398,1.32244805,1.62044934,1.60861159,1.91759402,2.76571706,1.81641871,,,,,,,,,,,,,,,,
0.25,1.576,1.68081981,2.29931571,1.22869392,1.31287401,1.01294223,2.35834777,1.06272265,1.37521639,1.64201824,1.5086952,2.00537,2.73334106,1.79667058,,,,,,,,,,,,,,,,
